Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Jenny Lewis,20270686,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Data analytics, Other, Project management, Web development","Other, Enlighten Design, Datacom, LIC",Internal client internship/project,Design Factory,Placed,2024 S2,25/08/1995,3/07/2024
Jennifer Powers,20248944,Male,Domestic,A grade,Bachelor of Applied IT,Software Engineering,Networking,"Tuatahi First Fibre, Waikato Regional Council",Internship,Classroom project,Available,2024 S2,17/09/2003,
Jocelyn Wright,20208392,Female,Domestic,B grade,Bachelor of Applied IT,Software Engineering,Software testing,Other,Classroom project,Industry project,For Review,2024 S1,22/04/2000,
Julian Chapman,20200942,Male,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Project management, Database, Software testing, Business analysis","Other, Tuatahi First Fibre, Waikato Regional Council",GIG - Internal client based projects,Design Factory,Available,2024 S1,22/03/1991,
Amy Jones,20204117,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Software testing, Other, Database","Hospital, HCC - Hamilton City Council, IT Partners, Tuatahi First Fibre",Internship,GIG - Internal client based projects,Available,2021 S2,18/01/2000,
David Caldwell,20228080,Female,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Web development, Game development","Enlighten Design, HCC - Hamilton City Council",Internship,Classroom project,Available,2022 S2,22/04/1993,
Sonya Johnston,20231850,Female,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Software testing, Business analysis, UX/UI design, Networking","Tuatahi First Fibre, Gallagher, CTEK, IT Partners",Classroom project,Classroom project,Placed,2024 S1,23/11/2004,8/02/2024
Cheryl Davis,20256498,Female,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Game development,"Hospital, Other, Fonterra",GIG - Internal client based projects,Industry project,Available,2021 S1,10/11/2000,
John Daniel,20288259,Male,Domestic,C grade,Master of Applied IT,Network Engineering,Project management,"Datacom, Tuatahi First Fibre, Other, Gallagher",Internal client internship/project,Classroom project,Available,2021 S2,26/02/1992,
Nicholas Mcbride,20214322,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Other, Security, Data analytics",Enlighten Design,Design Factory,Internship,Available,2021 S2,7/04/1997,
Joshua Taylor,20224050,Male,International,A grade,Bachelor of Applied IT,Software Engineering,Business analysis,"HCC - Hamilton City Council, Datacom",Classroom project,GIG - Internal client based projects,For Review,2024 S2,13/04/1998,
Shannon Jones,20272132,Female,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"API development, Security",IT Partners,Design Factory,GIG - Internal client based projects,Available,2023 S1,19/02/1992,
Zachary Huff,20212224,Male,International,C grade,Master of Applied IT,Software Engineering,UX/UI design,"Hospital, Waikato Regional Council, LIC",Design Factory,Internship,Available,2024 S1,5/11/1996,
John Lewis,20252565,Female,International,C grade,Master of Applied IT,Database or Data Analytics,Other,"Tuatahi First Fibre, LIC, Fonterra, CTEK",GIG - Internal client based projects,Classroom project,Placed,2021 S1,19/10/1990,6/02/2024
Aaron Myers,20259638,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Other, Web development, Security","Tuatahi First Fibre, HCC - Hamilton City Council, Other",Design Factory,Design Factory,Placed,2023 S1,5/07/1998,1/02/2024
Tyler Cowan,20272845,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Software testing, API development, Mobile app development","Waikato Regional Council, Enlighten Design, IT Partners",Design Factory,Internship,Placed,2021 S2,13/05/2005,8/07/2024
Edward Novak,20275914,Female,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Data analytics, Software testing, Networking, Security","HCC - Hamilton City Council, Fonterra, Other",Internal client internship/project,GIG - Internal client based projects,Placed,2022 S2,17/11/1990,18/07/2024
Amy Silva,20265909,Female,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, Data analytics, API development","IT Partners, HCC - Hamilton City Council, LIC",GIG - Internal client based projects,Industry project,Available,2020 S2,28/02/1994,
Jordan York,20208981,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"UX/UI design, Business analysis, Database","LIC, HCC - Hamilton City Council, IT Partners",Industry project,Internal client internship/project,For Review,2022 S1,12/02/1991,
Cynthia Wilson,20274668,Male,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"Project management, Software testing","LIC, Gallagher, Waikato Regional Council, IT Partners",Classroom project,Classroom project,Available,2022 S2,7/03/1997,
Amanda Miller,20286163,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Data analytics, Security, Business analysis, Project management",Datacom,Industry project,Design Factory,Available,2020 S2,4/08/2006,
Dean Santiago,20241180,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Game development, Data analytics, Software testing, API development, Business analysis","IT Partners, Waikato Regional Council, Enlighten Design, Gallagher",Design Factory,GIG - Internal client based projects,For Review,2021 S2,4/12/1996,
Carlos Brewer,20259929,Male,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"System support – help desk, Database",Datacom,Internship,Classroom project,Available,2024 S2,25/07/1999,
Taylor Smith,20281416,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Security, Project management, Web development, API development","Fonterra, LIC",Design Factory,Industry project,Placed,2021 S1,16/03/1992,27/02/2024
Daniel Baker,20245745,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"UX/UI design, Business analysis, API development, Data analytics, Security","Enlighten Design, IT Partners, Fonterra, Other",Design Factory,Design Factory,Available,2023 S2,22/02/1991,
Jaclyn Moore,20271200,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Security,"Hospital, Waikato Regional Council",Design Factory,Internship,Placed,2022 S1,5/02/1999,2/02/2024
Victoria Valdez,20201025,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"System support – help desk, Business analysis, Game development","LIC, Tuatahi First Fibre, CTEK, Fonterra",Internal client internship/project,Internal client internship/project,Placed,2020 S2,28/12/1998,11/07/2024
Ashley Humphrey,20234664,Female,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,"Networking, Data analytics, Security, Mobile app development, API development","LIC, Fonterra, Blackout Games",Internship,GIG - Internal client based projects,Placed,2023 S2,24/09/1992,2/07/2024
Natalie Moore,20236930,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Web development,"Blackout Games, Datacom, IT Partners",Classroom project,GIG - Internal client based projects,Available,2020 S2,21/12/1995,
Christina Walters,20234600,Male,International,B grade,Master of Applied IT,Network Engineering,"Game development, Security, Web development, Software testing, Data analytics",Hospital,Industry project,Classroom project,Placed,2022 S1,1/01/2006,23/02/2024
Taylor Mathis Jr.,20255518,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Database, System support – help desk, Game development, Web development","LIC, IT Partners",Classroom project,Internal client internship/project,Placed,2022 S1,21/03/1998,10/02/2024
Gavin Anderson,20234335,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Mobile app development, Database, Software testing","Tuatahi First Fibre, CTEK, HCC - Hamilton City Council, Hospital",Design Factory,Classroom project,For Review,2023 S1,21/04/1994,
Kristen Patterson,20201267,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Networking","Blackout Games, Waikato Regional Council",Internal client internship/project,Internship,Available,2020 S2,11/08/1992,
Stephen Mckee,20271511,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Security, Data analytics","CTEK, Waikato Regional Council, Fonterra",GIG - Internal client based projects,Internship,Available,2024 S1,11/01/1990,
Lauren Hernandez,20216704,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Project management, Other","HCC - Hamilton City Council, Enlighten Design, LIC",Classroom project,Internship,Placed,2020 S2,24/03/1990,6/07/2024
Steven Flynn,20205229,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Mobile app development, Other, Game development","HCC - Hamilton City Council, Blackout Games",Classroom project,Design Factory,Placed,2021 S1,23/12/2000,6/02/2024
David Garcia,20273385,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Business analysis, System support – help desk, Web development, Data analytics","Tuatahi First Fibre, IT Partners, Hospital",Internship,Classroom project,Available,2024 S1,19/08/2002,
Nicole Frost,20231029,Male,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, API development, Data analytics, Software testing","Fonterra, Tuatahi First Fibre",Internship,Industry project,Available,2024 S2,2/05/1994,
Rita Keith,20203248,Female,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Networking, Business analysis, Project management",Waikato Regional Council,GIG - Internal client based projects,Classroom project,Available,2021 S2,28/11/1994,
Evelyn Galvan,20287806,Female,International,C grade,Bachelor of Applied IT,Database or Data Analytics,"Project management, Security",IT Partners,Classroom project,Internship,Placed,2022 S2,1/04/1997,5/07/2024
Richard Rodriguez,20205075,Male,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,"Web development, System support – help desk","Blackout Games, Other, IT Partners",Industry project,Internal client internship/project,Available,2022 S1,26/10/2004,
Robert Stevens,20240001,Female,International,B grade,Bachelor of Applied IT,Software Engineering,"Other, Project management","Other, Blackout Games, CTEK, LIC",Classroom project,Internship,Available,2024 S1,19/07/1996,
Matthew Ross,20236517,Female,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Game development, Project management, Mobile app development, Security, Web development","Gallagher, Waikato Regional Council, Blackout Games, CTEK",Design Factory,Industry project,Placed,2020 S2,2/03/1991,27/07/2024
Diana May,20252386,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Networking, Other","Tuatahi First Fibre, LIC, Enlighten Design",Industry project,Design Factory,For Review,2023 S1,27/01/2000,
Ashley Waller,20223405,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"Project management, Security, Data analytics, Business analysis","IT Partners, Gallagher, CTEK, HCC - Hamilton City Council",Classroom project,Classroom project,For Review,2022 S2,2/11/1997,
Kyle Reed,20241114,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Security, Data analytics",Hospital,Industry project,GIG - Internal client based projects,Placed,2024 S2,27/08/2003,2/07/2024
Kayla Cruz,20275574,Female,International,A grade,Master of Applied IT,Software Engineering,Other,"Waikato Regional Council, HCC - Hamilton City Council",Industry project,Internal client internship/project,For Review,2024 S2,10/04/1995,
Michael Smith,20270575,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Security, Project management",Datacom,Internship,Internal client internship/project,For Review,2024 S2,5/07/1995,
Benjamin Beck,20243279,Male,International,B grade,Bachelor of Applied IT,Software Engineering,"Database, Security, UX/UI design, Software testing","Tuatahi First Fibre, CTEK, Blackout Games, Waikato Regional Council",Internship,Classroom project,Placed,2021 S2,27/06/1999,2/07/2024
Belinda Mccullough,20266469,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Other, Game development, Software testing, Project management",Tuatahi First Fibre,GIG - Internal client based projects,Classroom project,For Review,2020 S2,30/04/1999,
Erika Terry,20272667,Male,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Business analysis, Database, API development, Data analytics","LIC, Enlighten Design, Other, Blackout Games",GIG - Internal client based projects,Industry project,Available,2023 S2,18/02/1993,
Maurice Gray,20298059,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Mobile app development,"CTEK, Hospital, IT Partners, Other",Industry project,GIG - Internal client based projects,Available,2020 S2,22/09/1994,
Elizabeth Kelley,20200053,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Database, Networking","Hospital, LIC, Fonterra",Internal client internship/project,GIG - Internal client based projects,Available,2020 S1,22/02/1999,
Jeffrey Carpenter,20285813,Female,Domestic,A grade,Master of Applied IT,Software Engineering,"Project management, Data analytics","LIC, CTEK",Design Factory,Internal client internship/project,For Review,2022 S1,8/10/1999,
Jeremy Lewis,20262021,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Project management, UX/UI design, API development, Networking, System support – help desk","Enlighten Design, IT Partners, CTEK",Internal client internship/project,Internship,For Review,2021 S1,30/07/1994,
Diane Beck,20281167,Female,International,A grade,Master of Applied IT,Network Engineering,UX/UI design,"Fonterra, Other",Classroom project,Internal client internship/project,For Review,2022 S2,17/03/2000,
Trevor Young,20240687,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Networking, Project management, Security, API development, Data analytics","Tuatahi First Fibre, Waikato Regional Council, Other, Fonterra",Internal client internship/project,Industry project,Placed,2020 S2,12/06/1996,14/07/2024
Brittany Williams,20262277,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"Project management, API development, Networking, Web development, Game development",Gallagher,Industry project,Internal client internship/project,For Review,2021 S1,14/04/1991,
Stephen Johnston,20294155,Female,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"System support – help desk, Other, Game development, Database","Blackout Games, Other",GIG - Internal client based projects,Internal client internship/project,For Review,2023 S1,13/11/2001,
David Douglas Jr.,20298430,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Business analysis, Game development, Other","Enlighten Design, Hospital, Fonterra, IT Partners",Internship,Classroom project,For Review,2022 S2,6/06/1992,
Colleen Brock,20291214,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Game development, Business analysis","Blackout Games, LIC, Fonterra, IT Partners",GIG - Internal client based projects,Internal client internship/project,For Review,2022 S2,5/06/2006,
Justin Lowery,20215906,Male,International,C grade,Master of Applied IT,Software Engineering,"Mobile app development, UX/UI design, Project management","HCC - Hamilton City Council, LIC",Industry project,Internal client internship/project,For Review,2021 S1,2/05/2004,
John Schmidt,20273259,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Software testing, Business analysis, Other, Data analytics","Hospital, CTEK, Datacom",Classroom project,Internship,Available,2023 S2,8/08/1999,
Stephanie Salazar,20294276,Female,Domestic,C grade,Bachelor of Applied IT,Database or Data Analytics,"Security, API development, Data analytics, UX/UI design, Networking",CTEK,Internal client internship/project,Internship,Placed,2020 S2,24/12/2005,20/07/2024
Terry Griffin,20220861,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"Software testing, Business analysis, Project management, Web development","Waikato Regional Council, Tuatahi First Fibre, Blackout Games",Industry project,Internship,Available,2020 S2,15/12/2004,
Paul Larsen,20236347,Male,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Database, Other, Business analysis, System support – help desk","CTEK, IT Partners, Fonterra",Classroom project,Internal client internship/project,Placed,2024 S2,17/07/2006,26/07/2024
Mr. Jeremiah Reeves,20230735,Female,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"API development, UX/UI design, Project management","CTEK, LIC",Design Factory,GIG - Internal client based projects,For Review,2022 S2,18/01/1998,
Steven Miller,20219769,Female,International,C grade,Master of Applied IT,Network Engineering,"Database, Game development, Project management","Datacom, Hospital, Enlighten Design",Design Factory,Internship,Placed,2023 S1,3/09/1996,12/02/2024
Christian Lewis,20254377,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Software testing, Data analytics, Web development","Datacom, Other",Internship,Internal client internship/project,For Review,2024 S1,3/09/2002,
John Brown,20255069,Male,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"System support – help desk, Other","Enlighten Design, Tuatahi First Fibre",Internship,Classroom project,Available,2021 S2,21/01/2002,
Lauren Dominguez,20275456,Female,Domestic,A grade,Master of Applied IT,Software Engineering,"Software testing, Other, Data analytics","CTEK, Hospital",Design Factory,Classroom project,Available,2022 S1,30/09/2001,
Tommy Evans,20251116,Female,International,A grade,Master of Applied IT,Software Engineering,"Networking, Project management, Data analytics","Blackout Games, LIC, Other",Internship,Internal client internship/project,For Review,2021 S1,23/01/2003,
Morgan Marsh,20228906,Female,International,B grade,Bachelor of Applied IT,Software Engineering,"Mobile app development, Networking, Game development, Software testing","Blackout Games, CTEK, HCC - Hamilton City Council, Fonterra",Internship,Internal client internship/project,For Review,2020 S1,1/06/2005,
Jeffrey Johnson,20244057,Male,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Other, Data analytics, UX/UI design","Other, Enlighten Design",Classroom project,Classroom project,Placed,2020 S1,24/07/2002,1/02/2024
Sara Calhoun,20281560,Female,International,A grade,Master of Applied IT,Business Analysis or Project Management,Software testing,"HCC - Hamilton City Council, IT Partners, LIC",Internship,Industry project,Available,2024 S2,21/09/1989,
Leslie Alvarado,20211003,Male,International,B grade,Master of Applied IT,Network Engineering,"Business analysis, Web development, UX/UI design, System support – help desk, API development","Gallagher, Waikato Regional Council, CTEK, HCC - Hamilton City Council",Design Factory,Classroom project,For Review,2020 S2,22/05/2003,
Joel Williams,20249689,Female,International,C grade,Master of Applied IT,Network Engineering,"Other, Data analytics, Networking, Project management","CTEK, IT Partners, Gallagher, Other",Internship,Internal client internship/project,For Review,2020 S2,11/12/1999,
Gabriel Juarez,20249692,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Other, Software testing","Enlighten Design, Tuatahi First Fibre, Hospital, Datacom",Industry project,Internship,Placed,2023 S2,10/04/1998,10/07/2024
Sandra King,20210735,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"Database, Game development, Other","IT Partners, Gallagher, Hospital, HCC - Hamilton City Council",Internal client internship/project,Internal client internship/project,For Review,2022 S2,21/10/2004,
Joshua Cooke,20245870,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Mobile app development, System support – help desk, Data analytics, UX/UI design","Other, Blackout Games, IT Partners",Internship,GIG - Internal client based projects,Available,2020 S2,7/06/1996,
Rachael Pearson,20298858,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Project management, API development, Software testing","Waikato Regional Council, Enlighten Design, Fonterra, Datacom",GIG - Internal client based projects,Classroom project,Available,2023 S2,10/11/1989,
Christina Smith,20219973,Female,Domestic,B grade,Master of Applied IT,Network Engineering,Project management,"CTEK, Blackout Games, Hospital, Datacom",Internship,Industry project,Placed,2023 S2,2/12/1996,5/07/2024
Michael Elliott,20228569,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Business analysis, Networking, Other, System support – help desk","CTEK, Other, Tuatahi First Fibre, LIC",Design Factory,Industry project,Placed,2022 S2,17/08/2004,11/07/2024
Pamela Jackson,20279593,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Database, Game development, Other, Security","Other, IT Partners, Tuatahi First Fibre",Industry project,Design Factory,Available,2023 S2,13/09/1992,
Carla Collins,20275849,Male,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Security, Software testing, Project management, Mobile app development","Enlighten Design, LIC, Blackout Games",Design Factory,Internal client internship/project,Available,2021 S1,5/09/1989,
Laura Odonnell,20249192,Male,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Software testing, System support – help desk","Other, Tuatahi First Fibre",Internship,Internal client internship/project,Placed,2024 S2,20/04/2002,15/07/2024
Christina Vargas,20282213,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Database, Game development, Software testing, Business analysis",Datacom,Internal client internship/project,GIG - Internal client based projects,For Review,2023 S2,25/01/1997,
Raymond Jefferson,20278697,Female,International,C grade,Master of Applied IT,Software Engineering,"Game development, Database",LIC,Design Factory,Industry project,Available,2021 S1,3/12/1992,
Kylie Williams,20269827,Female,International,B grade,Master of Applied IT,Database or Data Analytics,API development,"Hospital, Blackout Games",Internal client internship/project,Industry project,Placed,2022 S1,19/05/2003,18/02/2024
Andrea Holland,20201658,Male,International,C grade,Master of Applied IT,Software Engineering,"Project management, Business analysis","Waikato Regional Council, Gallagher, Enlighten Design",Internship,Internship,Placed,2024 S2,5/02/2003,21/07/2024
Ashley Yu,20283307,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Project management, Database, API development, Other","Tuatahi First Fibre, HCC - Hamilton City Council, Hospital",Classroom project,Internal client internship/project,Available,2020 S2,12/06/2004,
Jessica Gross,20285256,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Web development, Mobile app development, Business analysis, System support – help desk","Enlighten Design, CTEK, Other",Classroom project,Industry project,Available,2024 S1,29/12/1997,
Tamara Hampton,20260931,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Data analytics, Web development, System support – help desk",Gallagher,Internal client internship/project,Classroom project,Placed,2023 S1,17/08/2003,28/02/2024
Leslie Morris,20232177,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Software testing, System support – help desk","Blackout Games, Tuatahi First Fibre, Enlighten Design, IT Partners",Classroom project,Internship,For Review,2023 S1,3/10/1991,
